Total: 	|	2982016

о	|	305548
а	|	258702
и	|	243763
е	|	225133
н	|	200350
т	|	178488
с	|	178350
р	|	170707
в	|	147128
л	|	117961
к	|	116586
д	|	92544
м	|	82325
п	|	80095
у	|	68642
я	|	58032
г	|	55795
ы	|	49354
й	|	47992
б	|	46363
з	|	44812
ь	|	40084
ч	|	32308
х	|	26543
ж	|	22482
ю	|	19137
ц	|	18696
ш	|	15351
ф	|	13293
щ	|	8858
ё	|	7835
э	|	7497
ъ	|	1262
